,d18O_measurement,d13C_measurement,Mg_Ca_measurement,Sr_Ca_measurement
P_Ca_measurement,0.0339473824447696,0.012276849239134302,0.013900436311684883,0.0023753600736517223
U_Ca_measurement,0.06166667020310131,0.037646636368844896,0.06002061899095491,0.0017825039678671217
Ba_Ca_measurement,0.09023295088168205,0.03339762512234047,0.07488265298943267,0.019214915864159066
Sr_isotopes_measurement,1.546731411372626e-06,0.0,0.0,0.0
depth_sample,0.08267241459472216,0.2561281476189798,0.11917011466115635,0.09323234268639696
mineralogy,0.0006425528691010763,0.0026296044662383,8.162850140298605e-05,0.052344102891609776
latitude,1.074631432626656,0.3297877422991258,1.2995943259389606,0.10383824409844591
longitude,0.5712680338620783,0.9259636826411629,0.17750344314798866,0.02352204198027391
elevation,0.365557608069282,0.7593170268986305,1.259337753643807,1.7573729086697234
monitoring,0.1554292542343349,0.009171983206182677,0.004306436640161049,0.0001505874999348067
